commontreeid,ownership,height,age,dbh,botanical_names,common_names,origin,region
ID_1,State,2,0,2.5,Acer saccharinum,Silver maple,"Modesto, CA",InlVal
ID_2,State,1.5,0,2.5,Betula pendula,European white birch,"Modesto, CA",InlVal
ID_3,State,1.8,0,2.5,Celtis sinensis,Chinese hackberry,"Modesto, CA",InlVal
ID_4,State,2,0,2.5,Cinnamomum camphora,Camphor tree,"Modesto, CA",InlVal
ID_5,State,2,0,2.5,Fraxinus angustifolia 'Raywood',Raywood ash,"Modesto, CA",InlVal
ID_6,State,2,0,2.5,Fraxinus excelsior 'Hessei',Hesse ash,"Modesto, CA",InlVal
ID_7,State,2,0,2.5,Fraxinus holotricha,Moraine ash,"Modesto, CA",InlVal
ID_8,State,2,0,2.5,Fraxinus pennsylvanica 'Marshall',Marshall ash,"Modesto, CA",InlVal
ID_9,State,2,0,2.5,Fraxinus velutina 'Modesto',Modesto ash,"Modesto, CA",InlVal
ID_10,State,1.6,0,2.5,Ginkgo biloba,Ginkgo,"Modesto, CA",InlVal
ID_11,State,2,0,2.5,Gleditsia triacanthos,Honeylocust,"Modesto, CA",InlVal
ID_12,State,1.8,0,2.5,Koelreuteria paniculata,Goldenrain tree,"Modesto, CA",InlVal
ID_13,State,2.1,0,2.5,Lagerstroemia indica,Common crapemyrtle,"Modesto, CA",InlVal
ID_14,State,2.2,0,2.5,Liquidambar styraciflua,Sweetgum,"Modesto, CA",InlVal
ID_15,State,1.8,0,2.5,Magnolia grandiflora,Southern magnolia,"Modesto, CA",InlVal
ID_16,State,1.8,0,2.5,Pistacia chinensis,Chinese pistache,"Modesto, CA",InlVal
ID_17,State,1.5,0,2.5,Pinus thunbergiana,Japanese black pine,"Modesto, CA",InlVal
ID_18,State,2.1,0,2.5,Platanus x acerifolia,London planetree,"Modesto, CA",InlVal
ID_19,State,1.8,0,2.5,Prunus cerasifera,Cherry plum,"Modesto, CA",InlVal
ID_20,State,2,0,2.5,Pyrus calleryana 'Bradford',Callery pear 'Bradford',"Modesto, CA",InlVal
ID_21,State,2,0,2.5,Quercus ilex,Holly oak,"Modesto, CA",InlVal
ID_22,State,2,0,2.5,Zelkova serrata,Japanese zelkova,"Modesto, CA",InlVal
ID_23,State,10,14,28.6,Pyrus calleryana 'Bradford',Callery pear 'Bradford',"Modesto, CA",InlVal
ID_24,State,6.5,8,12.6,Pyrus calleryana 'Bradford',Callery pear 'Bradford',"Modesto, CA",InlVal
ID_25,State,9,23,39.1,Pinus thunbergiana,Japanese black pine,"Modesto, CA",InlVal
ID_26,State,13,18,27.4,Liquidambar styraciflua,sweetgum,"Modesto, CA",InlVal
ID_27,State,8,22,31.4,Fraxinus holotricha,Moraine ash,"Modesto, CA",InlVal
ID_28,State,9.5,22,26.1,Betula pendula,European white birch,"Modesto, CA",InlVal
ID_29,State,9.5,23,33.1,Quercus ilex,holly oak,"Modesto, CA",InlVal
ID_30,State,6.2,9,10.7,Pyrus calleryana 'Bradford',Callery pear 'Bradford',"Modesto, CA",InlVal
ID_31,State,14,33,23.5,Betula pendula,European white birch,"Modesto, CA",InlVal
ID_32,State,9.5,23,32.2,Quercus ilex,holly oak,"Modesto, CA",InlVal
ID_33,State,7,14,24.4,Cinnamomum camphora,camphor tree,"Modesto, CA",InlVal
ID_34,State,19,30,60.2,Quercus ilex,holly oak,"Modesto, CA",InlVal
ID_35,State,12,18,14.9,Betula pendula,European white birch,"Modesto, CA",InlVal
ID_36,State,13,34,33.6,Liquidambar styraciflua,sweetgum,"Modesto, CA",InlVal
ID_37,State,16,34,44.5,Pistacia chinensis,Chinese pistache,"Modesto, CA",InlVal
ID_38,State,10,34,26.5,Pistacia chinensis,Chinese pistache,"Modesto, CA",InlVal
ID_39,State,11,34,26.1,Pistacia chinensis,Chinese pistache,"Modesto, CA",InlVal
ID_40,State,4.3,5,8.8,Koelreuteria paniculata,goldenrain tree,"Modesto, CA",InlVal
ID_41,State,4,5,5.8,Koelreuteria paniculata,goldenrain tree,"Modesto, CA",InlVal
ID_42,State,11,34,23.4,Pistacia chinensis,Chinese pistache,"Modesto, CA",InlVal
ID_43,State,12,9,40.1,Acer saccharinum,silver maple,"Modesto, CA",InlVal
ID_44,State,2.8,5,10,Prunus cerasifera,cherry plum,"Modesto, CA",InlVal
ID_45,State,10.5,17,26.6,Pistacia chinensis,Chinese pistache,"Modesto, CA",InlVal
ID_46,State,12.5,26,45.5,Quercus ilex,holly oak,"Modesto, CA",InlVal
ID_47,State,4.1,7,7.6,Koelreuteria paniculata,goldenrain tree,"Modesto, CA",InlVal
ID_48,State,4.4,5,5.9,Koelreuteria paniculata,goldenrain tree,"Modesto, CA",InlVal
ID_49,State,10,26,39.3,Fraxinus velutina 'Modesto',Modesto ash,"Modesto, CA",InlVal
ID_50,State,9.5,26,34.4,Fraxinus velutina 'Modesto',Modesto ash,"Modesto, CA",InlVal
ID_51,State,5.1,24,19.4,Prunus cerasifera,cherry plum,"Modesto, CA",InlVal
ID_52,State,7.5,39,29.2,Liquidambar styraciflua,sweetgum,"Modesto, CA",InlVal
ID_53,State,11,28,54.3,Fraxinus velutina 'Modesto',Modesto ash,"Modesto, CA",InlVal
ID_54,State,6.5,19,20.9,Prunus cerasifera,cherry plum,"Modesto, CA",InlVal
ID_55,State,3.7,3,5.1,Koelreuteria paniculata,goldenrain tree,"Modesto, CA",InlVal
ID_56,State,4.5,6,7.4,Cinnamomum camphora,camphor tree,"Modesto, CA",InlVal
ID_57,State,12,28,49.7,Fraxinus velutina 'Modesto',Modesto ash,"Modesto, CA",InlVal
ID_58,State,15,19,36.5,Fraxinus holotricha,Moraine ash,"Modesto, CA",InlVal
ID_59,State,9,18,36.6,Zelkova serrata,Japanese zelkova,"Modesto, CA",InlVal
ID_60,State,11.5,5,18.7,Platanus x acerifolia,London planetree,"Modesto, CA",InlVal
ID_61,State,4.5,6,5.5,Fraxinus excelsior 'Hessei',Hesse ash,"Modesto, CA",InlVal
ID_62,State,8,6,16.4,Platanus x acerifolia,London planetree,"Modesto, CA",InlVal
ID_63,State,5.5,23,9.9,Betula pendula,European white birch,"Modesto, CA",InlVal
ID_64,State,8,30,20.2,Pistacia chinensis,Chinese pistache,"Modesto, CA",InlVal
ID_65,State,14,34,37,Pinus thunbergiana,Japanese black pine,"Modesto, CA",InlVal
ID_66,State,15,38,57.8,Pyrus calleryana 'Bradford',Callery pear 'Bradford',"Modesto, CA",InlVal
ID_67,State,5.5,24,18.8,Lagerstroemia indica,common crapemyrtle,"Modesto, CA",InlVal
ID_68,State,4.5,29,18.4,Prunus cerasifera,cherry plum,"Modesto, CA",InlVal
ID_69,State,9,24,31.6,Fraxinus angustifolia 'Raywood',Raywood ash,"Modesto, CA",InlVal
ID_70,State,10,24,43,Fraxinus angustifolia 'Raywood',Raywood ash,"Modesto, CA",InlVal
ID_71,State,6.5,29,17.9,Lagerstroemia indica,common crapemyrtle,"Modesto, CA",InlVal
ID_72,State,13.5,34,43.7,Pinus thunbergiana,Japanese black pine,"Modesto, CA",InlVal
ID_73,State,8.5,11,30.9,Cinnamomum camphora,camphor tree,"Modesto, CA",InlVal
ID_74,State,4.2,29,8.1,Lagerstroemia indica,common crapemyrtle,"Modesto, CA",InlVal
ID_75,State,11.5,24,23,Betula pendula,European white birch,"Modesto, CA",InlVal
ID_76,State,8.5,25,32.1,Pinus thunbergiana,Japanese black pine,"Modesto, CA",InlVal
ID_77,State,11,27,35.5,Magnolia grandiflora,southern magnolia,"Modesto, CA",InlVal
ID_78,State,11,29,34.1,Ginkgo biloba,ginkgo,"Modesto, CA",InlVal
ID_79,State,14,29,52.3,Fraxinus angustifolia 'Raywood',Raywood ash,"Modesto, CA",InlVal
ID_80,State,14.5,29,53.5,Fraxinus angustifolia 'Raywood',Raywood ash,"Modesto, CA",InlVal
ID_81,State,12,29,33.4,Fraxinus angustifolia 'Raywood',Raywood ash,"Modesto, CA",InlVal
ID_82,State,8.5,30,24.9,Pistacia chinensis,Chinese pistache,"Modesto, CA",InlVal
ID_83,State,18,29,43.2,Fraxinus angustifolia 'Raywood',Raywood ash,"Modesto, CA",InlVal
ID_84,State,10.5,29,40.5,Fraxinus angustifolia 'Raywood',Raywood ash,"Modesto, CA",InlVal
ID_85,State,16,29,66.2,Fraxinus angustifolia 'Raywood',Raywood ash,"Modesto, CA",InlVal
ID_86,State,14.5,29,50.8,Fraxinus angustifolia 'Raywood',Raywood ash,"Modesto, CA",InlVal
ID_87,State,15,29,62.7,Fraxinus angustifolia 'Raywood',Raywood ash,"Modesto, CA",InlVal
ID_88,State,9,26,25,Fraxinus excelsior 'Hessei',Hesse ash,"Modesto, CA",InlVal
ID_89,State,16,29,37.7,Fraxinus angustifolia 'Raywood',Raywood ash,"Modesto, CA",InlVal
ID_90,State,16,30,48.3,Pistacia chinensis,Chinese pistache,"Modesto, CA",InlVal
ID_91,State,5.6,13,10.8,Betula pendula,European white birch,"Modesto, CA",InlVal
ID_92,State,9,36,38.2,Gleditsia triacanthos,honeylocust,"Modesto, CA",InlVal
ID_93,State,11,29,39.3,Fraxinus angustifolia 'Raywood',Raywood ash,"Modesto, CA",InlVal
ID_94,State,13.5,27,47.4,Quercus ilex,holly oak,"Modesto, CA",InlVal
ID_95,State,13,32,41.2,Fraxinus holotricha,Moraine ash,"Modesto, CA",InlVal
ID_96,State,21,36,73.5,Acer saccharinum,silver maple,"Modesto, CA",InlVal
ID_97,State,7.5,37,18,Magnolia grandiflora,southern magnolia,"Modesto, CA",InlVal
ID_98,State,11,37,41,Liquidambar styraciflua,sweetgum,"Modesto, CA",InlVal
ID_99,State,9.5,30,30.1,Cinnamomum camphora,camphor tree,"Modesto, CA",InlVal
ID_100,State,21.5,33,67.5,Fraxinus holotricha,Moraine ash,"Modesto, CA",InlVal
